idhog,idper,estrato,comuna,sexo,edad,educ,ascendencia,salud,pobre,ingreso
2015001167,2,MA,2,M,42,18,BLANCA     ,NO,NO,76548
2015001172,1,M ,2,H,42,16,BLANCA     ,NO,NO,44746
2015001177,2,MB,13,M,53,8,BLANCA     ,SI,NO,10000
2015001178,1,A ,5,H,56,17,BLANCA     ,NO,NO,50000
2015001179,1,A ,5,H,79,19,BLANCA     ,NO,NO,16368
2015001186,1,MA,5,M,27,14,BLANCA     ,NO,NO,21554
2015001187,1,A ,5,H,67,12,BLANCA     ,NO,NO,60000
2015001188,1,MA,4,H,53,11,BLANCA     ,NO,NO,51553
2015001188,2,MA,4,M,49,13,BLANCA     ,NO,NO,41553
2015001189,1,MA,7,M,57,17,BLANCA     ,NO,NO,52553
2015001193,1,MA,2,M,52,16,BLANCA     ,NO,NO,72093
2015001194,1,M ,11,M,50,16,BLANCA     ,NO,NO,69548
2015001194,3,M ,11,H,21,7,BLANCA     ,NO,NO,31548
2015001196,1,A ,2,M,37,16,BLANCA     ,NO,NO,27554
2015001199,2,M ,6,H,60,12,BLANCA     ,NO,NO,64546
2015001199,3,M ,6,H,27,10,BLANCA     ,NO,NO,21546
2015001215,2,MB,18,M,45,13,BLANCA     ,NO,NO,18553
2015001217,1,B ,17,H,50,5,BLANCA     ,NO,NO,27546
2015001224,2,M ,3,M,52,14,AFRO       ,NO,NO,29554
2015001232,1,MA,3,H,40,9,BLANCA     ,SI,NO,28000
2015001235,1,M ,3,H,54,9,BLANCA     ,NO,NO,24453
2015001238,1,MB,6,H,45,9,BLANCA     ,NO,NO,43248
2015001260,1,M ,14,M,42,14,BLANCA     ,NO,NO,17548
2015001262,1,MA,16,H,51,18,BLANCA     ,NO,NO,71546
2015001278,1,MB,9,H,40,9,BLANCA     ,NO,NO,19553
2015001278,2,MB,9,M,35,12,BLANCA     ,NO,NO,21553
2015001283,1,MB,11,H,23,9,AFRO       ,NO,NO,14053
2015001283,2,MB,11,M,19,7,BLANCA     ,NO,NO,15553
2015001289,2,A ,7,M,57,14,BLANCA     ,NO,NO,35554
2015001301,2,B ,11,H,54,6,BLANCA     ,NO,NO,23554
2015001309,1,MB,14,M,46,9,BLANCA     ,NO,NO,20374
